,index,JOUEUR,SELECTIONS,POINTS
0,?refer=joueur&GET_CAT=1&PARAM=758,Tariq ABDUL-WAHAD,45,589
1,?refer=joueur&GET_CAT=1&PARAM=668,Georges ADAMS,75,393
2,?refer=joueur&GET_CAT=1&PARAM=759,Arsène ADE-MENSAH,4,6
3,?refer=joueur&GET_CAT=1&PARAM=750,Alexis AJINCA,39,275
4,?refer=joueur&GET_CAT=1&PARAM=730,Cyril AKPOMEDAH,1,3
5,?refer=joueur&GET_CAT=1&PARAM=762,Andrew ALBICY,90,235
6,?refer=joueur&GET_CAT=1&PARAM=677,Olivier ALLINEI,29,58
7,?refer=joueur&GET_CAT=1&PARAM=381,André AMBROISE,4,14
8,?refer=joueur&GET_CAT=1&PARAM=468,Roger ANTOINE,66,557
9,?refer=joueur&GET_CAT=1&PARAM=451,Jean-Marie AUDEBERT,1,0
10,?refer=joueur&GET_CAT=1&PARAM=537,Michel AUDUREAU,23,54
11,?refer=joueur&GET_CAT=1&PARAM=905,Joel Ayayi,1,0
12,?refer=joueur&GET_CAT=1&PARAM=736,Pape BADIANE,23,62
13,?refer=joueur&GET_CAT=1&PARAM=520,Philippe BAILLET,59,328
14,?refer=joueur&GET_CAT=1&PARAM=493,Christian BALTZER,148,873
15,?refer=joueur&GET_CAT=1&PARAM=395,André BARRAIS,6,2
16,?refer=joueur&GET_CAT=1&PARAM=572,Henri BARRE,6,8
17,?refer=joueur&GET_CAT=1&PARAM=669,Olivier BASSET,2,2
18,?refer=joueur&GET_CAT=1&PARAM=751,Nicolas BATUM,161,1678
19,?refer=joueur&GET_CAT=1&PARAM=327,Georges BEAUFUME,3,0
20,?refer=joueur&GET_CAT=1&PARAM=335,Marcel BEAULIEU,3,0
21,?refer=joueur&GET_CAT=1&PARAM=898,Juhann BEGARIN,4,23
22,?refer=joueur&GET_CAT=1&PARAM=613,Marc BELLOT,4,0
23,?refer=joueur&GET_CAT=1&PARAM=504,Jean BELMAS,1,3
24,?refer=joueur&GET_CAT=1&PARAM=874,Hugo BENITEZ,4,6
25,?refer=joueur&GET_CAT=1&PARAM=472,Jacques BERIO,6,11
26,?refer=joueur&GET_CAT=1&PARAM=711,Laurent BERNARD,9,27
27,?refer=joueur&GET_CAT=1&PARAM=481,Gérard BERTHEUX,5,15
28,?refer=joueur&GET_CAT=1&PARAM=474,Louis BERTORELLE,64,309
29,?refer=joueur&GET_CAT=1&PARAM=386,Paul BETTEMPS,1,1
30,?refer=joueur&GET_CAT=1&PARAM=614,Eric BEUGNOT,212,2491
31,?refer=joueur&GET_CAT=1&PARAM=638,Gregor BEUGNOT,54,297
32,?refer=joueur&GET_CAT=1&PARAM=458,Jean-Paul BEUGNOT,98,1081
33,?refer=joueur&GET_CAT=1&PARAM=413,Marcel BEZIERS,3,7
34,?refer=joueur&GET_CAT=1&PARAM=548,Fernand BIASSUCI,18,56
35,?refer=joueur&GET_CAT=1&PARAM=670,Jim BILBA,170,1198
36,?refer=joueur&GET_CAT=1&PARAM=618,Mathieu BISSENI,91,322
37,?refer=joueur&GET_CAT=1&PARAM=459,Robert BLANCHARD,19,41
38,?refer=joueur&GET_CAT=1&PARAM=357,Pierre BOEL,23,68
39,?refer=joueur&GET_CAT=1&PARAM=615,Victor BOISTOL,82,362
40,?refer=joueur&GET_CAT=1&PARAM=726,Yannick BOKOLO,91,262
41,?refer=joueur&GET_CAT=1&PARAM=541,Jean-Claude BONATO,174,2147
42,?refer=joueur&GET_CAT=1&PARAM=682,Yann BONATO,92,1164
43,?refer=joueur&GET_CAT=1&PARAM=423,Michel BONNEVIE,10,13
44,?refer=joueur&GET_CAT=1&PARAM=554,Maurice BOULOIS,15,16
45,?refer=joueur&GET_CAT=1&PARAM=382,Robert BOUNAIX,4,6
46,?refer=joueur&GET_CAT=1&PARAM=782,Nobel BOUNGOU COLO,2,5
47,?refer=joueur&GET_CAT=1&PARAM=687,Olivier BOURGAIN,3,17
48,?refer=joueur&GET_CAT=1&PARAM=664,Rudy BOURGAREL,19,65
49,?refer=joueur&GET_CAT=1&PARAM=659,Marc BOUSINIERE,3,35
50,?refer=joueur&GET_CAT=1&PARAM=822,Axel BOUTEILLE,12,83
51,?refer=joueur&GET_CAT=1&PARAM=569,Jean-Claude BOUTIN,5,10
52,?refer=joueur&GET_CAT=1&PARAM=859,Jerry BOUTSIELE,4,19
53,?refer=joueur&GET_CAT=1&PARAM=656,Pierre BRESSANT,16,17
54,?refer=joueur&GET_CAT=1&PARAM=428,Jacques BRESSY,1,0
55,?refer=joueur&GET_CAT=1&PARAM=621,George BROSTERHOUS,96,665
56,?refer=joueur&GET_CAT=1&PARAM=622,Gérard BRUN,4,2
57,?refer=joueur&GET_CAT=1&PARAM=735,Stephen BRUN,15,91
58,?refer=joueur&GET_CAT=1&PARAM=539,Antoine BRUYAS,6,15
59,?refer=joueur&GET_CAT=1&PARAM=399,André BUFFIERE,97,368
60,?refer=joueur&GET_CAT=1&PARAM=496,Maurice BUFFIERE,28,72
61,?refer=joueur&GET_CAT=1&PARAM=651,Allen BUNTING,7,40
62,?refer=joueur&GET_CAT=1&PARAM=522,Georges BURDY,1,4
63,?refer=joueur&GET_CAT=1&PARAM=341,Marc BURNEL,5,18
64,?refer=joueur&GET_CAT=1&PARAM=336,Roger BURNEL,7,2
65,?refer=joueur&GET_CAT=1&PARAM=646,Patrick BURTEY,2,12
66,?refer=joueur&GET_CAT=1&PARAM=356,Robert BUSNEL,28,164
67,?refer=joueur&GET_CAT=1&PARAM=648,Franck BUTTER,68,210
68,?refer=joueur&GET_CAT=1&PARAM=523,Jacques CABALLE,19,63
69,?refer=joueur&GET_CAT=1&PARAM=579,Jacques CACHEMIRE,250,2843
70,?refer=joueur&GET_CAT=1&PARAM=625,Bill CAIN,63,755
71,?refer=joueur&GET_CAT=1&PARAM=835,Ousmane CAMARA,4,12
72,?refer=joueur&GET_CAT=1&PARAM=558,Gérard CAPRON,9,7
73,?refer=joueur&GET_CAT=1&PARAM=352,Pierre CAQUE,2,0
74,?refer=joueur&GET_CAT=1&PARAM=354,Georges CARRIER,4,6
75,?refer=joueur&GET_CAT=1&PARAM=688,Howard CARTER,5,67
76,?refer=joueur&GET_CAT=1&PARAM=597,Jean CAULIER,14,0
77,?refer=joueur&GET_CAT=1&PARAM=760,Fabien CAUSEUR,30,77
78,?refer=joueur&GET_CAT=1&PARAM=629,Franck CAZALON,17,57
79,?refer=joueur&GET_CAT=1&PARAM=742,Laurent CAZALON,6,13
80,?refer=joueur&GET_CAT=1&PARAM=418,Jacques CHALIFOUR,12,8
81,?refer=joueur&GET_CAT=1&PARAM=634,Patrick CHAM,113,413
82,?refer=joueur&GET_CAT=1&PARAM=405,Jean CHAMOREL,1,0
83,?refer=joueur&GET_CAT=1&PARAM=837,Alexandre CHASSANG,12,46
84,?refer=joueur&GET_CAT=1&PARAM=406,Paul CHAUMONT,5,25
85,?refer=joueur&GET_CAT=1&PARAM=477,André CHAVET,30,67
86,?refer=joueur&GET_CAT=1&PARAM=400,Guy CHENEL,2,4
87,?refer=joueur&GET_CAT=1&PARAM=396,René CHOCAT,68,278
88,?refer=joueur&GET_CAT=1&PARAM=513,Jérôme CHRIST,58,205
89,?refer=joueur&GET_CAT=1&PARAM=598,Serge CLABAU,43,70
90,?refer=joueur&GET_CAT=1&PARAM=585,Marc CLERO,3,0
91,?refer=joueur&GET_CAT=1&PARAM=358,Robert COHU,27,45
92,?refer=joueur&GET_CAT=1&PARAM=478,Claude COLIGNON,3,0
93,?refer=joueur&GET_CAT=1&PARAM=589,Jean-Marc CONTER,8,16
94,?refer=joueur&GET_CAT=1&PARAM=442,Jean-Pierre CONTER,5,9
95,?refer=joueur&GET_CAT=1&PARAM=332,Jean-Marie CONTY,1,0
96,?refer=joueur&GET_CAT=1&PARAM=681,Bruno COQUERAN,19,21
97,?refer=joueur&GET_CAT=1&PARAM=544,Pierre CORDEVANT,15,42
98,?refer=joueur&GET_CAT=1&PARAM=857,Isaia CORDINIER,21,125
99,?refer=joueur&GET_CAT=1&PARAM=866,Petr CORNELIE,11,12
100,?refer=joueur&GET_CAT=1&PARAM=392,Georges COULON,1,0
101,?refer=joueur&GET_CAT=1&PARAM=671,Fabrice COURCIER,2,3
102,?refer=joueur&GET_CAT=1&PARAM=660,Félix COURTINARD,52,394
103,?refer=joueur&GET_CAT=1&PARAM=363,Jean COUTURIER,1,0
104,?refer=joueur&GET_CAT=1&PARAM=452,Robert CROST,11,22
105,?refer=joueur&GET_CAT=1&PARAM=635,Richard DACOURY,160,2242
106,?refer=joueur&GET_CAT=1&PARAM=672,Ken DANCY,1,0
107,?refer=joueur&GET_CAT=1&PARAM=743,Nando DE COLO,192,2111
108,?refer=joueur&GET_CAT=1&PARAM=434,Jean DEFFIN,1,0
109,?refer=joueur&GET_CAT=1&PARAM=633,Jean-Luc DEGANIS,94,551
110,?refer=joueur&GET_CAT=1&PARAM=610,Jean-Marie DEGANIS,29,64
111,?refer=joueur&GET_CAT=1&PARAM=587,Eric DEGONSE,3,2
112,?refer=joueur&GET_CAT=1&PARAM=514,Jean DEGROS,148,1061
113,?refer=joueur&GET_CAT=1&PARAM=675,Jim DEINES,16,59
114,?refer=joueur&GET_CAT=1&PARAM=328,Jules DELANNOY,1,0
115,?refer=joueur&GET_CAT=1&PARAM=374,Marcel DELCROIX,1,2
116,?refer=joueur&GET_CAT=1&PARAM=375,Paul DELMEULE,2,1
117,?refer=joueur&GET_CAT=1&PARAM=603,Patrick DEMARS,30,19
118,?refer=joueur&GET_CAT=1&PARAM=640,Valery DEMORY,86,446
119,?refer=joueur&GET_CAT=1&PARAM=425,René DERENCY,15,66
120,?refer=joueur&GET_CAT=1&PARAM=426,Maurice DESAYMONET,28,28
121,?refer=joueur&GET_CAT=1&PARAM=349,Fernand DESRUELLES,1,0
122,?refer=joueur&GET_CAT=1&PARAM=507,Claude DESSEAUX,12,50
123,?refer=joueur&GET_CAT=1&PARAM=429,Jacques DESSEMME,76,611
124,?refer=joueur&GET_CAT=1&PARAM=503,Michel DEVAUX,2,0
125,?refer=joueur&GET_CAT=1&PARAM=433,Louis DEVOTI,32,101
126,?refer=joueur&GET_CAT=1&PARAM=729,Mamoutou DIARRA,44,159
127,?refer=joueur&GET_CAT=1&PARAM=720,Boris DIAW,247,2090
128,?refer=joueur&GET_CAT=1&PARAM=737,Yakhouba DIAWARA,43,275
129,?refer=joueur&GET_CAT=1&PARAM=699,Alain DIGBEU,92,606
130,?refer=joueur&GET_CAT=1&PARAM=492,Alioune DIOP,4,3
131,?refer=joueur&GET_CAT=1&PARAM=754,Antoine DIOT,93,421
132,?refer=joueur&GET_CAT=1&PARAM=709,Makan DIOUMASSI,62,150
133,?refer=joueur&GET_CAT=1&PARAM=612,Didier DOBBELS,61,237
134,?refer=joueur&GET_CAT=1&PARAM=691,Frédéric DOMON,16,4
135,?refer=joueur&GET_CAT=1&PARAM=549,Laurent DORIGO,38,257
136,?refer=joueur&GET_CAT=1&PARAM=519,Maxime DORIGO,71,840
137,?refer=joueur&GET_CAT=1&PARAM=744,Thomas DUBIEZ,6,55
138,?refer=joueur&GET_CAT=1&PARAM=695,Fabien DUBOS,37,190
139,?refer=joueur&GET_CAT=1&PARAM=607,Hervé DUBUISSON,259,3913
140,?refer=joueur&GET_CAT=1&PARAM=592,Michel DUFFORT,6,2
141,?refer=joueur&GET_CAT=1&PARAM=683,Christophe DUMAS,4,0
142,?refer=joueur&GET_CAT=1&PARAM=401,Jean DUPERRAY,15,170
143,?refer=joueur&GET_CAT=1&PARAM=373,Joseph DUPLAN,4,2
144,?refer=joueur&GET_CAT=1&PARAM=560,Michel DUPREZ,3,3
145,?refer=joueur&GET_CAT=1&PARAM=595,Roger DUQUESNOY,28,56
146,?refer=joueur&GET_CAT=1&PARAM=561,Alain DURAND,113,709
147,?refer=joueur&GET_CAT=1&PARAM=652,Robert DURIGO,2,0
148,?refer=joueur&GET_CAT=1&PARAM=351,Roland ETIENNE,40,153
149,?refer=joueur&GET_CAT=1&PARAM=424,André EVEN,6,17
150,?refer=joueur&GET_CAT=1&PARAM=701,Vasco EVTIMOV,32,141
151,?refer=joueur&GET_CAT=1&PARAM=350,Marcel EXQUIS,3,0
152,?refer=joueur&GET_CAT=1&PARAM=372,Wladimir FABRIKANT,17,73
153,?refer=joueur&GET_CAT=1&PARAM=820,Moustapha FALL,37,190
154,?refer=joueur&GET_CAT=1&PARAM=387,Gaston FALLEUR,4,9
155,?refer=joueur&GET_CAT=1&PARAM=570,Bernard FATIEN,15,17
156,?refer=joueur&GET_CAT=1&PARAM=402,Jacques FAUCHERRE,10,39
157,?refer=joueur&GET_CAT=1&PARAM=702,Frédéric FAUTHOUX,47,203
158,?refer=joueur&GET_CAT=1&PARAM=414,Jacques FAVORY,15,15
159,?refer=joueur&GET_CAT=1&PARAM=626,Apollo FAYE,80,933
160,?refer=joueur&GET_CAT=1&PARAM=738,Cédric FERCHAUD,18,81
161,?refer=joueur&GET_CAT=1&PARAM=435,Louis FIORIN,1,6
162,?refer=joueur&GET_CAT=1&PARAM=571,Francis FLAMME,5,4
163,?refer=joueur&GET_CAT=1&PARAM=340,Jacques FLOURET,25,51
164,?refer=joueur&GET_CAT=1&PARAM=692,Laurent FOIREST,150,1292
165,?refer=joueur&GET_CAT=1&PARAM=376,Georges FONTAINE,2,4
166,?refer=joueur&GET_CAT=1&PARAM=342,Charles FONTEYNE,7,10
167,?refer=joueur&GET_CAT=1&PARAM=676,Frédéric FORTE,73,320
168,?refer=joueur&GET_CAT=1&PARAM=780,Evan FOURNIER,101,1170
169,?refer=joueur&GET_CAT=1&PARAM=873,Sylvain FRANCISCO,13,100
170,?refer=joueur&GET_CAT=1&PARAM=430,Jacques FREIMULLER,66,120
171,?refer=joueur&GET_CAT=1&PARAM=383,Emile FREZOT,24,60
172,?refer=joueur&GET_CAT=1&PARAM=716,David FRIGOUT,5,12
173,?refer=joueur&GET_CAT=1&PARAM=665,Didier GADOU,70,325
174,?refer=joueur&GET_CAT=1&PARAM=679,Thierry GADOU,118,667
175,?refer=joueur&GET_CAT=1&PARAM=566,Jean-Pierre GALAIS,1,0
176,?refer=joueur&GET_CAT=1&PARAM=577,Pierre GALLE,66,285
177,?refer=joueur&GET_CAT=1&PARAM=467,Claude GALLEY,24,126
178,?refer=joueur&GET_CAT=1&PARAM=644,Christian GARNIER,35,58
179,?refer=joueur&GET_CAT=1&PARAM=580,Claude GASNAL,95,470
180,?refer=joueur&GET_CAT=1&PARAM=482,Donat GAUBRON,5,2
181,?refer=joueur&GET_CAT=1&PARAM=710,David GAUTIER,13,40
182,?refer=joueur&GET_CAT=1&PARAM=731,Mickaël GELABALE,156,1122
183,?refer=joueur&GET_CAT=1&PARAM=616,Patrick GENART,7,35
184,?refer=joueur&GET_CAT=1&PARAM=641,Raphaël GHEWY,2,0
185,?refer=joueur&GET_CAT=1&PARAM=718,Sacha GIFFA,52,148
186,?refer=joueur&GET_CAT=1&PARAM=536,Alain GILLES,160,2286
187,?refer=joueur&GET_CAT=1&PARAM=397,Maurice GIRARDOT,13,18
188,?refer=joueur&GET_CAT=1&PARAM=494,Robert GIRAUD,5,9
189,?refer=joueur&GET_CAT=1&PARAM=377,Léon GLAVIEUX,2,0
190,?refer=joueur&GET_CAT=1&PARAM=389,René GOALARD,2,0
191,?refer=joueur&GET_CAT=1&PARAM=771,Rudy GOBERT,96,893
192,?refer=joueur&GET_CAT=1&PARAM=403,André GOEURIOT,17,105
193,?refer=joueur&GET_CAT=1&PARAM=530,Jean-Pierre GOISBAULT,30,94
194,?refer=joueur&GET_CAT=1&PARAM=460,Yves GOMINON,33,49
195,?refer=joueur&GET_CAT=1&PARAM=721,Joseph GOMIS,58,378
196,?refer=joueur&GET_CAT=1&PARAM=438,Camille GOMMENDY,5,0
197,?refer=joueur&GET_CAT=1&PARAM=384,Gabriel GONNET,7,6
198,?refer=joueur&GET_CAT=1&PARAM=642,Johnny GORDOLON,2,5
199,?refer=joueur&GET_CAT=1&PARAM=359,Raoul GOUGA,4,0
200,?refer=joueur&GET_CAT=1&PARAM=745,William GRADIT,14,57
201,?refer=joueur&GET_CAT=1&PARAM=483,Henri GRANGE,133,1057
202,?refer=joueur&GET_CAT=1&PARAM=415,Aimé GRAVAS,4,6
203,?refer=joueur&GET_CAT=1&PARAM=379,Abel GRAVIER,5,17
204,?refer=joueur&GET_CAT=1&PARAM=649,Christophe GREGOIRE,14,68
205,?refer=joueur&GET_CAT=1&PARAM=630,Ulysse GRUDA,6,2
206,?refer=joueur&GET_CAT=1&PARAM=611,Sylvain GRZANKA,23,30
207,?refer=joueur&GET_CAT=1&PARAM=563,René GUERIN,13,4
208,?refer=joueur&GET_CAT=1&PARAM=511,Roger GUILLAUME,10,42
209,?refer=joueur&GET_CAT=1&PARAM=567,Gérard GUILLIN,1,0
210,?refer=joueur&GET_CAT=1&PARAM=448,Robert GUILLIN,30,114
211,?refer=joueur&GET_CAT=1&PARAM=416,Fernand GUILLOU,33,177
212,?refer=joueur&GET_CAT=1&PARAM=333,Pierre GUILLOUX,1,0
213,?refer=joueur&GET_CAT=1&PARAM=535,Alain HAHN,1,4
214,?refer=joueur&GET_CAT=1&PARAM=588,Jean-Marie HAMEL,1,0
215,?refer=joueur&GET_CAT=1&PARAM=689,Bruno HAMM,25,60
216,?refer=joueur&GET_CAT=1&PARAM=631,Daniel HAQUET,82,609
217,?refer=joueur&GET_CAT=1&PARAM=602,Philippe HAQUET,32,51
218,?refer=joueur&GET_CAT=1&PARAM=461,Roger HAUDEGAND,64,457
219,?refer=joueur&GET_CAT=1&PARAM=575,Jean-Georges HAUGUEL,9,10
220,?refer=joueur&GET_CAT=1&PARAM=343,Henri HELL,26,91
221,?refer=joueur&GET_CAT=1&PARAM=360,Charles HEMMERLIN,4,0
222,?refer=joueur&GET_CAT=1&PARAM=497,Claude HEMMERLIN,4,12
223,?refer=joueur&GET_CAT=1&PARAM=650,Jean-Louis HERSIN,28,58
224,?refer=joueur&GET_CAT=1&PARAM=484,André HERVE,10,14
225,?refer=joueur&GET_CAT=1&PARAM=779,Thomas HEURTEL,99,748
226,?refer=joueur&GET_CAT=1&PARAM=479,Michel HOFF,2,0
227,?refer=joueur&GET_CAT=1&PARAM=337,Paul HOTILLE,3,0
228,?refer=joueur&GET_CAT=1&PARAM=531,Michel HOUSSE,8,38
229,?refer=joueur&GET_CAT=1&PARAM=828,William HOWARD,9,19
230,?refer=joueur&GET_CAT=1&PARAM=637,Frédéric HUFNAGEL,103,604
231,?refer=joueur&GET_CAT=1&PARAM=518,Georges HURTEL,6,2
232,?refer=joueur&GET_CAT=1&PARAM=462,Marcel IBERT,7,6
233,?refer=joueur&GET_CAT=1&PARAM=895,Damien INGLIS,4,31
234,?refer=joueur&GET_CAT=1&PARAM=803,Hugo INVERNIZZI,5,26
235,?refer=joueur&GET_CAT=1&PARAM=746,Dounia ISSA,14,39
236,?refer=joueur&GET_CAT=1&PARAM=755,Edwin JACKSON,54,241
237,?refer=joueur&GET_CAT=1&PARAM=661,Skeeter JACKSON,41,259
238,?refer=joueur&GET_CAT=1&PARAM=798,Mouhammadou JAITEH,36,135
239,?refer=joueur&GET_CAT=1&PARAM=380,Jean JEAMMES,12,16
240,?refer=joueur&GET_CAT=1&PARAM=812,Livio JEAN-CHARLES,4,4
241,?refer=joueur&GET_CAT=1&PARAM=723,Aymeric JEANNEAU,56,151
